id,filename,class,source_name,source_page_url,direct_source_url,license,author,original_filename,width,height,sha256,phash,selection_reason,notes
patchy_001,02_patchy_undercoverage/patchy_001.jpg,02_patchy_undercoverage,roboflow:chew-poh-yee/internal-wall-finishing-defects,https://universe.roboflow.com/chew-poh-yee/internal-wall-finishing-defects/images/05CJ3KGrFYMkNBZ3TH3H,https://source.roboflow.com/wfaznU8G1pbxwjeGjjw0KY8pYpf1/05CJ3KGrFYMkNBZ3TH3H/original.jpg,CC BY 4.0,Chew Poh Yee,cropped_pinhole (14)_00.jpg,1500,1000,5415b15e0464c25585f2e6d335f27fe29f4fe40bfdd656e2cd9334474bbef392,0011110000111100011111000111110011111111111111111111111111111111,pinholes + vertical run; irregular coating density,
patchy_002,02_patchy_undercoverage/patchy_002.jpg,02_patchy_undercoverage,roboflow:chew-poh-yee/internal-wall-finishing-defects,https://universe.roboflow.com/chew-poh-yee/internal-wall-finishing-defects/images/05MtSjYchbm92dRfM8cH,https://source.roboflow.com/wfaznU8G1pbxwjeGjjw0KY8pYpf1/05MtSjYchbm92dRfM8cH/original.jpg,CC BY 4.0,Chew Poh Yee,IMG_7097.JPG,4032,3024,d0f4de8f7a5d70d1c9331c39d0ccb5d59990d7651efba32ae1e038cb669c94fb,1010100010111000100110001011010000110010011100100101110001011000,rough and patchy plaster; incomplete finish,
patchy_003,02_patchy_undercoverage/patchy_003.jpg,02_patchy_undercoverage,roboflow:chew-poh-yee/internal-wall-finishing-defects,https://universe.roboflow.com/chew-poh-yee/internal-wall-finishing-defects/images/05SbQjpAcmH6x6HlfpNN,https://source.roboflow.com/wfaznU8G1pbxwjeGjjw0KY8pYpf1/05SbQjpAcmH6x6HlfpNN/original.jpg,CC BY 4.0,Chew Poh Yee,1000024948.jpg,2000,1126,c4ff0ec5281eaba73ef4e1abee67ac70b96edf40ea905bc243d9cc496baeba8d,0011111100011111000111110011111101011111011111111111111111111111,dense pinhole cluster + streaks on white wall,
patchy_004,02_patchy_undercoverage/patchy_004.jpg,02_patchy_undercoverage,roboflow:chew-poh-yee/internal-wall-finishing-defects,https://universe.roboflow.com/chew-poh-yee/internal-wall-finishing-defects/images/06fbL7tCr9acGGLqqIX3,https://source.roboflow.com/wfaznU8G1pbxwjeGjjw0KY8pYpf1/06fbL7tCr9acGGLqqIX3/original.jpg,CC BY 4.0,Chew Poh Yee,cropped_pinhole (39)_11.jpg,1500,1000,21edb4db337f529e0b2bf0890d3eef4fafccf1b9f0bdac59ba3e37f2408d2a52,0100001110000011100000011000000110000001000000010000000100000001,sparse pinholes; dhash-distinct from patchy_003,
patchy_005,02_patchy_undercoverage/patchy_005.jpg,02_patchy_undercoverage,roboflow:chew-poh-yee/internal-wall-finishing-defects,https://universe.roboflow.com/chew-poh-yee/internal-wall-finishing-defects/images/08DSdUSV43C4SF1uWd2Q,https://source.roboflow.com/wfaznU8G1pbxwjeGjjw0KY8pYpf1/08DSdUSV43C4SF1uWd2Q/original.jpg,CC BY 4.0,Chew Poh Yee,468_Color.png,1280,720,7f709bbce2b0046d54a2efc2ea8e6769de1fb5dc9a6bf3c0b3b677ce009705c5,0000011100001111000110110000100100011011000000110000110000000001,trowel marks on gray wall; rough finish,
patchy_006,02_patchy_undercoverage/patchy_006.jpg,02_patchy_undercoverage,roboflow:chew-poh-yee/internal-wall-finishing-defects,https://universe.roboflow.com/chew-poh-yee/internal-wall-finishing-defects/images/08TaYWQwKXvq6m9pgvuR,https://source.roboflow.com/wfaznU8G1pbxwjeGjjw0KY8pYpf1/08TaYWQwKXvq6m9pgvuR/original.jpg,CC BY 4.0,Chew Poh Yee,20240122_103650_005_saved.jpg,4032,3024,e86e423da97d00ca70e410245199a610642a6e5489dc38ec0fad180cfc3017a9,0100111111100001000100010001001100000011000001010000000000011000,rough and patchy white coating,
patchy_007,02_patchy_undercoverage/patchy_007.jpg,02_patchy_undercoverage,roboflow:chew-poh-yee/internal-wall-finishing-defects,https://universe.roboflow.com/chew-poh-yee/internal-wall-finishing-defects/images/08weQ0IIRtHG8OWFgdLS,https://source.roboflow.com/wfaznU8G1pbxwjeGjjw0KY8pYpf1/08weQ0IIRtHG8OWFgdLS/original.jpg,CC BY 4.0,Chew Poh Yee,8dd494d161ee0cbf65c6c12c96d652cf.jpg,736,1104,21956416a7b800d1821677734429d4505595792d72b1649dbcec3b327b4d5d5f,0011000000000000000001000001000000001000000010000000000000000000,trowel texture on peach wall,
patchy_008,02_patchy_undercoverage/patchy_008.jpg,02_patchy_undercoverage,roboflow:hashtee/paint_defect,https://universe.roboflow.com/hashtee/paint_defect/images/0iDn9A9uv1SH11ceUB2u,https://source.roboflow.com/xNvFxyh7KISAsuMLNebxWgbB8A12/0iDn9A9uv1SH11ceUB2u/original.jpg,CC BY 4.0,Hashtee,20250702_194458.jpg,3088,3088,5a628601fb47ba2f685af2018aa1ce0129c59ae37e774c922e0e9b8a47838ecd,0000111100001111000011110000111100000111000001110000011100000011,"patchy discoloration, inconsistent opacity",
patchy_009,02_patchy_undercoverage/patchy_009.jpg,02_patchy_undercoverage,roboflow:hashtee/paint_defect,https://universe.roboflow.com/hashtee/paint_defect/images/1ZJgHPvNJIsxPlSWPkZU,https://source.roboflow.com/xNvFxyh7KISAsuMLNebxWgbB8A12/1ZJgHPvNJIsxPlSWPkZU/original.jpg,CC BY 4.0,Hashtee,20250702_194115.jpg,3088,3088,eb0c02458102589b9ac93df7bee2fa607da3178bb318ef8b9cb2510dc3abef06,0101101100011011000111111001111110110111001101110110011100000011,"peeling spots, previous layer showing through",
patchy_010,02_patchy_undercoverage/patchy_010.jpg,02_patchy_undercoverage,roboflow:hashtee/paint_defect,https://universe.roboflow.com/hashtee/paint_defect/images/3h65tZ7kS6KFaS6mTlmS,https://source.roboflow.com/xNvFxyh7KISAsuMLNebxWgbB8A12/3h65tZ7kS6KFaS6mTlmS/original.jpg,CC BY 4.0,Hashtee,20250702_194441.jpg,3088,3088,43fbd3990c4a23624432ddf901bbd089eca747866fe1692ccc14a57c012fa75d,0011111100011110000111110001111100011111000111110001111100011111,patchy stains; small vent only clutter,
patchy_011,02_patchy_undercoverage/patchy_011.jpg,02_patchy_undercoverage,wikimedia:Category:peeling,https://commons.wikimedia.org/?curid=172306707,https://upload.wikimedia.org/wikipedia/commons/4/4c/Beilstein_-_Billensbach_-_Kirchstra%C3%9Fe_1_-_Garagentor_-_Detail_links_unten_%28RQCD5512%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Roman Eisele,Beilstein - Billensbach - Kirchstraße 1 - Garagentor - Detail links unten (RQCD5512).jpg,6198,4920,065ad3912a24855ec25c13562d271cdebfa5d4ff80ebcb772e8b8fd4174fb2f9,0001001100011011000100010111001001100010000000010000010101100101,peeling paint on boards; previous layer showing,
patchy_012,02_patchy_undercoverage/patchy_012.jpg,02_patchy_undercoverage,wikimedia:Category:peeling,https://commons.wikimedia.org/?curid=163508981,https://upload.wikimedia.org/wikipedia/commons/f/f0/Beilstein_-_Fohlenberg_-_S%C3%BCdosthang_-_Fohlenbergweg_-_Weinbergh%C3%A4uschen_-_T%C3%BCr_-_Detail_%28RQCD1028-X%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Roman Eisele,Beilstein - Fohlenberg - Südosthang - Fohlenbergweg - Weinberghäuschen - Tür - Detail (RQCD1028-X).jpg,6336,6336,eb89c673e179ccdb1955e149a7694406d4dfdfa95cec5c8e8da575b40950e619,0101100000101001000110010010111101101011001011010001111010001110,peeling green paint close-up; irregular coverage,
patchy_013,02_patchy_undercoverage/patchy_013.jpg,02_patchy_undercoverage,wikimedia:Category:peeling,https://commons.wikimedia.org/?curid=40606307,https://upload.wikimedia.org/wikipedia/commons/8/89/BLUE_STRIPE_WOOD_%287241544022%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 2.0,THOR,BLUE STRIPE WOOD (7241544022).jpg,1278,1920,7e1f5c80904ba4c3dda01ab41ccdd4e514bf3989325ee9aaf181467d82b60938,1110011011100110111001101110011011100110111001101110011011100110,peeling striped paint close-up,
patchy_014,02_patchy_undercoverage/patchy_014.jpg,02_patchy_undercoverage,wikimedia:Category:peeling,https://commons.wikimedia.org/?curid=63706345,https://upload.wikimedia.org/wikipedia/commons/d/d7/Blue_Paint_%2835121827170%29_%282%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 2.0,XoMEoX,Blue Paint (35121827170) (2).jpg,3543,2230,cbdf9ac7cab240f023e051324c33c2cd4e4f3f23354f25d1ee5f835d6d9ba72c,0100100001100000011001000111000000110000001101000011010000110100,blue alligatoring/crackle; severe uneven coating,
patchy_015,02_patchy_undercoverage/patchy_015.jpg,02_patchy_undercoverage,wikimedia:Category:white_walls,https://commons.wikimedia.org/?curid=84026879,https://upload.wikimedia.org/wikipedia/commons/9/99/01A_Seth_Ram_Lal_Khemka_Haveli_Before_Kitchen.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Aishwarya tipnis,01A Seth Ram Lal Khemka Haveli Before Kitchen.jpg,4000,3000,d32755366d467981c50ed3fcba3abfbb096e03918eca4b4eecff7dc3a7bc3565,0000011111001100000011100000110000011100000011000100110000010100,peeling/damaged indoor wall; irregular coating,
drip_001,03_drip_sag_overwet/drip_001.jpg,03_drip_sag_overwet,roboflow:chew-poh-yee/internal-wall-finishing-defects,https://universe.roboflow.com/chew-poh-yee/internal-wall-finishing-defects/images/01jP5a96Z1Q6VIpT3TNf,https://source.roboflow.com/wfaznU8G1pbxwjeGjjw0KY8pYpf1/01jP5a96Z1Q6VIpT3TNf/original.jpg,CC BY 4.0,Chew Poh Yee,VID20240717161331_mp4-0031.jpg,1280,720,190a0be56480e11662a8dd44077cd8679beaf0b5c6f74c49fc79ad227335678b,0000011100000111000001110000011100000111000001110000011101000111,glossy brown wall with vertical drip/run,small phone camera stamp in corner; does not obscure defect
drip_002,03_drip_sag_overwet/drip_002.jpg,03_drip_sag_overwet,roboflow:hashtee/paint_defect,https://universe.roboflow.com/hashtee/paint_defect/images/3kh1bqqKh9pnP4IFcX1D,https://source.roboflow.com/xNvFxyh7KISAsuMLNebxWgbB8A12/3kh1bqqKh9pnP4IFcX1D/original.jpg,CC BY 4.0,Hashtee,20250702_194327.jpg,3088,3088,8a5262bf63d0d7b33e1f270549ad008437c164b4be3ac15aac3b452972bfece7,0000101100001011000011110000101100001111000011110000101100001011,sagging/blistered ridge on white wall edge,
drip_003,03_drip_sag_overwet/drip_003.jpg,03_drip_sag_overwet,roboflow:hashtee/paint_defect,https://universe.roboflow.com/hashtee/paint_defect/images/5AzS9HV0aWKroOsp3HHd,https://source.roboflow.com/xNvFxyh7KISAsuMLNebxWgbB8A12/5AzS9HV0aWKroOsp3HHd/original.jpg,CC BY 4.0,Hashtee,20250702_194330.jpg,3088,3088,af26cec6360e6918d2de2feb2fd1ea0d655f47fa6b38b59483bd38fc459b2200,0000011000000110000001100000011000001110000011100001011000000110,"sagging coating, same session as drip_002, different crop",same wall session as drip_002; kept (max-3-per-scene)
drip_004,03_drip_sag_overwet/drip_004.jpg,03_drip_sag_overwet,wikimedia:Category:paint_rollers,https://commons.wikimedia.org/?curid=25192480,https://upload.wikimedia.org/wikipedia/commons/c/c0/Paint_roller_4.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 2.0,Michael Cory,Paint roller 4.jpg,3867,2597,b9c3472b8651f7e0cae5be7c9b97f51c19360f533a01b41ebdea5e83b2a789dc,0100111001101011011010001100010011101000110010000101101001100011,fresh glossy red coating on brick + roller; heavy wet look,
drip_005,03_drip_sag_overwet/drip_005.jpg,03_drip_sag_overwet,wikimedia:Category:paint_rollers,https://commons.wikimedia.org/?curid=159722856,https://upload.wikimedia.org/wikipedia/commons/4/42/203_365_Painting_the_basement._%2835705667550%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 2.0,David Mulder,203 365 Painting the basement. (35705667550).jpg,4032,3024,f34dbc93ce9f0c23af88b0af0b668aa8a6498f255f4d9ee3dc20d3578980219d,0100110001011110110001101110001000110011001100111110110011011011,roller laying glossy wet edge; visible heavy wet coating,
drip_006,03_drip_sag_overwet/drip_006.jpg,03_drip_sag_overwet,roboflow:chew-poh-yee/internal-wall-finishing-defects,https://universe.roboflow.com/chew-poh-yee/internal-wall-finishing-defects,https://source.roboflow.com/wfaznU8G1pbxwjeGjjw0KY8pYpf1/0lwkEb88MSpPwoGDQ4T5/original.jpg,CC BY 4.0,Chew Poh Yee,0lwkEb88MSpPwoGDQ4T5 (Roboflow preview image),612,408,573d74e9e4272cf07d8d87bfe08b76f3285e282951756ce46b46452775158dd4,0111001100111001000011010001111101111011010010010100110100101001,pink paint drips with droplets on wall; fills frame,"612px short side, below preferred 640; accepted: perfect subject, priority source, passes all strict replacement requirements"
wetneg_001,04_wet_reflective_hard_negative/wetneg_001.jpg,04_wet_reflective_hard_negative,wikimedia:Category:wet_surf,https://commons.wikimedia.org/?curid=57212014,https://upload.wikimedia.org/wikipedia/commons/8/89/After_the_rain_%2827785575110%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 2.0,"Jeremy Segrott from Cardiff, Wales, UK",After the rain (27785575110).jpg,5184,3456,41f2b4d69796bab4f4175a94acd7d1042cc8081f17ecb7ff54f7991ce1f4aeec,0000011100000011000011110000111100000011000011110010111100010011,water-bead texture on dark surface; NOT paint,
wetneg_002,04_wet_reflective_hard_negative/wetneg_002.jpg,04_wet_reflective_hard_negative,"openverse:flickr (CC BY 2.0, individually verified)",https://www.flickr.com/photos/16167252@N00/27840234,https://live.staticflickr.com/23/27840234_ce22875988_b.jpg,CC BY 2.0,andrechinn,dual-head shower (Flickr 27840234),1024,768,056a2d21dc659bcf11fd7489a1ceb32389589e44d78b2e53edcd8314d9d9ef25,0011001100110011011000110100001101000011010000110101010001000101,glossy tiled shower wall; domain-matched wet negative,
wetneg_003,04_wet_reflective_hard_negative/wetneg_003.jpg,04_wet_reflective_hard_negative,wikimedia:Category:wet_surf,https://commons.wikimedia.org/?curid=87053193,https://upload.wikimedia.org/wikipedia/commons/c/c1/Droplets_kz01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,"Krzysztof Ziarnek, Kenraiz",Droplets kz01.jpg,4608,3072,7b915ea6651b6074c693bd4506d4d74bca3dede6f4735a7d7cd4b2e6fafa3ce8,0111111101111111011111110111111111111111111111111111111111111111,droplet macro; glossy non-paint surface,
wetneg_004,04_wet_reflective_hard_negative/wetneg_004.jpg,04_wet_reflective_hard_negative,wikimedia:Category:wet_surf,https://commons.wikimedia.org/?curid=179565471,https://upload.wikimedia.org/wikipedia/commons/7/7b/%D0%AF%D0%B2%D0%B8%D1%89%D0%B5_%D0%BD%D0%B5%D0%B7%D0%BC%D0%BE%D1%87%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F_%D0%BF%D0%BE%D0%B2%D0%B5%D1%80%D1%85%D0%BD%D1%96_%28%D1%84%D1%96%D0%B7%D0%B8%D0%BA%D0%B0%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Любмир,Явище незмочування поверхні (фізика).jpg,2048,1536,1cc8ef9914aaf10eefe43c99b2b202dc663b66279f5818a9e8d8a725c518f0ad,0011001100100111000110110011111100111111000111110011011100111100,water rivulets on dark surface; NOT paint,
wetneg_005,04_wet_reflective_hard_negative/wetneg_005.jpg,04_wet_reflective_hard_negative,"openverse:flickr (CC BY 2.0, individually verified)",https://www.flickr.com/photos/34621580@N00/4047861939,https://live.staticflickr.com/2727/4047861939_6c10bd3b69_b.jpg,CC BY 2.0,Mr Thinktank,tiled wall (Flickr 4047861939),1024,768,eae41b71cbe2d282f805c51f795e2ffdfba4a87c715a14f65f5a80460e1a159e,0011000001110000011101000111000001110000011100000111000000100000,glossy blue mosaic tile wall; domain-matched wet negative,
context_001,05_real_painting_context/context_001.jpg,05_real_painting_context,wikimedia:Category:house_painting,https://commons.wikimedia.org/?curid=125100570,https://upload.wikimedia.org/wikipedia/commons/d/d5/0086_wall_painting.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 4.0,Virtual-Pano,0086 wall painting.jpg,4197,4197,b5e92cea300e8484ad4492f920f0cc189b7c101eb3a41f3fdbfcbd23b949211b,0011011101011011010011010100110001111100010111101000110000111101,"painter coating turquoise wall; wall dominates, close",
context_002,05_real_painting_context/context_002.jpg,05_real_painting_context,wikimedia:Category:paint_rollers,https://commons.wikimedia.org/?curid=50211478,https://upload.wikimedia.org/wikipedia/commons/5/56/Heimwerker_-_Maler_%28DIY%29_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 3.0,Oxfordian Kissuth,Heimwerker - Maler (DIY) 01.jpg,2618,2618,910802f771bb863471d263a7239a7bdbfe34f6a570bbbde38afe9dbd4eebc144,0010001100010011001100110011001100110001100100101101101011001100,indoor rolling of white wall; medium shot,
context_003,05_real_painting_context/context_003.jpg,05_real_painting_context,wikimedia:Category:house_painting,https://commons.wikimedia.org/?curid=57041806,https://upload.wikimedia.org/wikipedia/commons/5/59/House_painting.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Kottakkalnet,House painting.jpg,4000,3000,9ee6a5ba6b98bd7cffc1bf8f979d69d5cb2d60d32eb82cdb365a91d7fd1cf546,0010011100100111001001100010011010000111000000101101000111001101,worker coating dark indoor wall; wall fills frame,
context_004,05_real_painting_context/context_004.jpg,05_real_painting_context,wikimedia:Category:paint_rollers,https://commons.wikimedia.org/?curid=8355969,https://upload.wikimedia.org/wikipedia/commons/e/e9/US_Navy_090416-F-7522G-006_Aerographer%27s_Mate_Gina_Hegg%2C_embarked_aboard_the_Military_Sealift_Command_hospital_ship_USNS_Comfort_%28T-AH_20%29_paints_the_wall_of_a_pediatric_medical_facility_at_Emmanuel_Christian_School.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,U.S. Air Force photo by Airman 1st Class Ashley Garcia,"US Navy 090416-F-7522G-006 Aerographer's Mate Gina Hegg, embarked aboard the Military Sealift Command hospital ship USNS Comfort (T-AH 20) paints the wall of a pediatric medical facility at Emmanuel Christian School.jpg",2832,3646,4613582bfa7782a0ec309366fd3ba9ead3844f8e9fde119498d45d273149ac4c,0110011010100111100001100010010001001000011001100010011010000110,close rolling of white indoor wall,
context_005,05_real_painting_context/context_005.jpg,05_real_painting_context,wikimedia:Category:paint_rollers,https://commons.wikimedia.org/?curid=8219314,https://upload.wikimedia.org/wikipedia/commons/d/de/US_Navy_070823-N-9195K-025_Aerographer%27s_Mate_1st_Class_William_Palmer_uses_a_roller_to_add_a_second_coat_of_paint_to_a_wall_during_a_community_relations_project_at_Voza_Medical_Clinic_in_support_of_Pacific_Partnership.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,U.S. Navy Photo by Mass Communication Specialist 3rd Class Patrick M. Kearney,US Navy 070823-N-9195K-025 Aerographer's Mate 1st Class William Palmer uses a roller to add a second coat of paint to a wall during a community relations project at Voza Medical Clinic in support of Pacific Partnership.jpg,2100,1500,5b0d6ee210f5c282c72d3723f03b6e7cf2af8bac3ade5ebb6de7a4a8851a97d2,1000011010001110100011111000111110001101110011011101101010111010,close rolling of white wall,
context_006,05_real_painting_context/context_006.jpg,05_real_painting_context,wikimedia:Category:paint_rollers,https://commons.wikimedia.org/?curid=21418764,https://upload.wikimedia.org/wikipedia/commons/1/17/Defense.gov_photo_essay_110617-O-ZZ999-012.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,Kristopher Radder,Defense.gov photo essay 110617-O-ZZ999-012.jpg,1896,1264,6bc5f9b35e417d6701b5f040477b2f1ba990e4b63a73982bd585754f415f329a,0111100101111100001111000001101100011011000110110011101101111111,medium shot rolling white wall,
drip_007,03_drip_sag_overwet/drip_007.jpg,03_drip_sag_overwet,wikimedia:Category:Paint rollers,https://commons.wikimedia.org/?curid=25192476,https://upload.wikimedia.org/wikipedia/commons/e/e8/Paint_roller_3.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 2.0,Erik bij de Vaate,Paint roller 3.jpg,1280,960,d8975ab213b272b4c2073a41460d7bd622490d39b91b142f20cc67b6a81e8e76,1110001111000101110010111001101010010011000100110000001100000011,fresh white paint running down gray wall; loaded roller in frame,
drip_008,03_drip_sag_overwet/drip_008.jpg,03_drip_sag_overwet,wikimedia:Category:Paint rollers,https://commons.wikimedia.org/?curid=25192477,https://upload.wikimedia.org/wikipedia/commons/5/5c/Paint_roller_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 2.0,Maggie,Paint roller 2.jpg,1024,768,231ebf7991a61e1812929245e61a15215aca7d16e94e282dbfb1af8ec54c35a8,0011110000111100001100010010010100110001001011010000110100101101,red roller with red drips running down yellow wall,older graffiti tags in background; fresh red runs are the clear subject
